group1,group2,meandiff,p-adj,lower,upper,reject
42,48,-0.0543,1.0,-0.2465,0.1379,False
42,49,-0.0403,1.0,-0.2603,0.1797,False
42,51,-0.1448,0.4047,-0.3309,0.0412,False
42,52,-0.1062,0.8859,-0.2857,0.0734,False
42,53,-0.1901,0.0091,-0.3584,-0.0217,True
42,54,-0.0981,0.9434,-0.277,0.0809,False
42,55,-0.0755,1.0,-0.3068,0.1559,False
42,56,-0.0975,0.9499,-0.2776,0.0826,False
42,61,0.0319,1.0,-0.137,0.2008,False
42,62,-0.0246,1.0,-0.1937,0.1445,False
42,71,-0.0813,0.9861,-0.2499,0.0873,False
42,72,-0.1474,0.1859,-0.3157,0.0208,False
42,81,-0.111,0.7584,-0.2811,0.0592,False
42,92,-0.0014,1.0,-0.1986,0.1958,False
44,45,-0.0553,0.0003,-0.0968,-0.0139,True
44,48,0.0842,0.1848,-0.0118,0.1803,False
44,49,0.0982,0.6772,-0.0456,0.242,False
44,51,-0.0063,1.0,-0.0892,0.0766,False
44,52,0.0324,0.9864,-0.0349,0.0996,False
44,53,-0.0515,0.0,-0.0763,-0.0268,True
44,54,0.0405,0.8362,-0.025,0.106,False
44,55,0.0631,0.9991,-0.0975,0.2237,False
44,56,0.041,0.8746,-0.0276,0.1097,False
44,61,0.1705,0.0,0.142,0.1989,True
44,62,0.1139,0.0,0.0846,0.1432,True
44,71,0.0572,0.0,0.0308,0.0836,True
44,72,-0.0089,0.9997,-0.0329,0.0151,False
44,81,0.0276,0.3692,-0.0072,0.0624,False
44,92,0.1371,0.0006,0.0314,0.2428,True
45,48,0.1396,0.0002,0.0369,0.2423,True
45,49,0.1536,0.0323,0.0052,0.3019,True
45,51,0.049,0.9495,-0.0415,0.1396,False
45,52,0.0877,0.007,0.0113,0.1642,True
45,53,0.0038,1.0,-0.0402,0.0478,False
45,54,0.0958,0.0009,0.0209,0.1708,True
45,55,0.1184,0.5744,-0.0463,0.2831,False
45,56,0.0964,0.0016,0.0187,0.1741,True
45,61,0.2258,0.0,0.1796,0.272,True
45,62,0.1693,0.0,0.1225,0.216,True
45,71,0.1125,0.0,0.0676,0.1575,True
45,72,0.0465,0.0218,0.0029,0.0901,True
45,81,0.0829,0.0,0.0326,0.1333,True
45,92,0.1925,0.0,0.0807,0.3042,True
48,49,0.014,1.0,-0.1578,0.1857,False
48,51,-0.0906,0.5647,-0.2159,0.0348,False
48,52,-0.0519,0.9944,-0.1675,0.0637,False
48,53,-0.1358,0.0001,-0.233,-0.0386,True
48,54,-0.0438,0.9994,-0.1583,0.0708,False
48,55,-0.0212,1.0,-0.2073,0.1649,False
48,56,-0.0432,0.9996,-0.1596,0.0732,False
48,61,0.0862,0.1837,-0.012,0.1844,False
48,62,0.0297,1.0,-0.0688,0.1282,False
48,71,-0.0271,1.0,-0.1247,0.0706,False
48,72,-0.0931,0.0794,-0.1902,0.0039,False
48,81,-0.0567,0.9236,-0.1569,0.0436,False
48,92,0.0529,0.9996,-0.0886,0.1943,False
49,51,-0.1045,0.8013,-0.2693,0.0603,False
49,52,-0.0658,0.9979,-0.2233,0.0917,False
49,53,-0.1497,0.0321,-0.2943,-0.0052,True
49,54,-0.0577,0.9997,-0.2145,0.099,False
49,55,-0.0351,1.0,-0.2498,0.1795,False
49,56,-0.0572,0.9998,-0.2153,0.1009,False
49,61,0.0722,0.98,-0.073,0.2175,False
49,62,0.0157,1.0,-0.1297,0.1611,False
49,71,-0.041,1.0,-0.1859,0.1038,False
49,72,-0.1071,0.5092,-0.2515,0.0373,False
49,81,-0.0706,0.9863,-0.2172,0.076,False
49,92,0.0389,1.0,-0.1384,0.2162,False
51,52,0.0387,0.9997,-0.0662,0.1436,False
