,sum_sq,df,F,PR(>F)
C(naics_2d),27.464883189006553,22.0,53.22003125699617,4.1787037822016395e-194
C(urban_flag),0.015310794902183627,1.0,0.6527062761721936,0.4191809190793312
C(naics_2d):C(urban_flag),0.6582449771561089,22.0,1.2755130985967977,0.17431781755765544
Residual,132.0182704766221,5628.0,,
